"";"x"
"1";"MOVIMENTO 5 STELLE"
"2";"AZIONE - ITALIA VIVA - CALENDA"
"3";"FRATELLI D'ITALIA CON GIORGIA MELONI"
"4";"FORZA ITALIA"
"5";"NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC"
"6";"LEGA PER SALVINI PREMIER"
"7";"ITALEXIT PER L'ITALIA"
"8";"ITALIA SOVRANA E POPOLARE"
"9";"+EUROPA"
"10";"PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA"
"11";"ALLEANZA VERDI E SINISTRA"
"12";"IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO"
"13";"VITA"
"14";"UNIONE POPOLARE CON DE MAGISTRIS"
"15";"MASTELLA NOI DI CENTRO EUROPEISTI"
"16";"FREE"
"17";"ALTERNATIVA PER L'ITALIA - NO GREEN PASS"
"18";"VALLE D'AOSTA APERTA"
"19";"LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA"
"20";"LA RENAISSANCE VALD?TAINE"
"21";"PARTITO COMUNISTA ITALIANO"
"22";"VALL?E D?AOSTE ? AUTONOMIE PROGR?S F?D?RALISME"
"23";"SUD CHIAMA NORD"
"24";"PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO"
"25";"PARTITO DELLA FOLLIA CREATIVA"
"26";"FORZA DEL POPOLO"
"27";"S?DTIROLER VOLKSPARTEI (SVP) - PATT"
"28";"PARTITO COMUNISTA DEI LAVORATORI"
"29";"DESTRE UNITE"
"30";"POUR L?AUTONOMIE ? PER L?AUTONOMIA"
"31";"CAMPOBASE - +EUROPA - ALLEANZA VERDI E SINISTRA ? PD - AZIONE-ITALIA VIVA"
"32";"PARTITO DEMOCRATICO - +EUROPA - ALLEANZA VERDI E SINISTRA"
"33";"DIE FREIHEITLICHEN"
"34";"TEAM K"
