"";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"VOTANTI";"COGNOME";"NOME";"LISTA";"VOTI_LISTA";"ELEZIONE"
"1";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"LEGA SALVINI PREMIER";3985;"europee-20190526.txt"
"2";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"FORZA NUOVA";20;"europee-20190526.txt"
"3";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"POPOLARI PER L'ITALIA";11;"europee-20190526.txt"
"4";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"PARTITO COMUNISTA";115;"europee-20190526.txt"
"5";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"PARTITO DEMOCRATICO";1807;"europee-20190526.txt"
"6";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";35;"europee-20190526.txt"
"7";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"LA SINISTRA";140;"europee-20190526.txt"
"8";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";267;"europee-20190526.txt"
"9";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"EUROPA VERDE";180;"europee-20190526.txt"
"10";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"MOVIMENTO 5 STELLE";1263;"europee-20190526.txt"
"11";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"PARTITO PIRATA";22;"europee-20190526.txt"
"12";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"FRATELLI D'ITALIA";418;"europee-20190526.txt"
"13";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"FORZA ITALIA";993;"europee-20190526.txt"
"14";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"PARTITO ANIMALISTA";199;"europee-20190526.txt"
"15";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"AUTONOMIE PER L'EUROPA";8;"europee-20190526.txt"
"16";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;9882;NA;NA;"CASAPOUND ITALIA - DESTRE UNITE";35;"europee-20190526.txt"
"17";"TRENTINO-ALTO ADIGE";"BOLZANO";"ANDRIANO/ANDRIAN";794;563;NA;NA;"SVP";364;"europee-20190526.txt"
"18";"TRENTINO-ALTO ADIGE";"BOLZANO";"ANDRIANO/ANDRIAN";794;563;NA;NA;"PPA MOVIMENTO POLITICO PENSIERO AZIONE";0;"europee-20190526.txt"
"19";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"MARSILIO";"MARCO";"AZIONE POLITICA";123;"regionali-20190210.txt"
"20";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"MARSILIO";"MARCO";"UNIONE DI CENTRO - DEM.CRISTIANA - IDEA";22;"regionali-20190210.txt"
"21";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"MARSILIO";"MARCO";"LEGA";275;"regionali-20190210.txt"
"22";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"LEGNINI";"GIOVANNI";"PROGRESSISTI - LIBERI E UGUALI";21;"regionali-20190210.txt"
"23";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"LEGNINI";"GIOVANNI";"CENTRISTI X L'EUROPA";15;"regionali-20190210.txt"
"24";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"LEGNINI";"GIOVANNI";"CENTRO DEMOCRATICO +ABRUZZO";45;"regionali-20190210.txt"
"25";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"LEGNINI";"GIOVANNI";"LEGNINI PRESIDENTE";49;"regionali-20190210.txt"
"26";"ABRUZZO";"CHIETI";"ALTINO";2690;1353;"LEGNINI";"GIOVANNI";"ABRUZZO INSIEME - ABRUZZO FUTURO";11;"regionali-20190210.txt"
