"CIRCOSCRIZIONE","COLLEGIO_PLURINOMINALE","DESCR_LISTA","CANDIDATO"
"PIEMONTE 1","PIEMONTE 1 - P01","MOVIMENTO 5 STELLE","CHIARA APPENDINO"
"PIEMONTE 1","PIEMONTE 1 - P01","MOVIMENTO 5 STELLE","ANTONINO IARIA"
"PIEMONTE 1","PIEMONTE 1 - P01","MOVIMENTO 5 STELLE","CARLOTTA TEVERE"
"PIEMONTE 1","PIEMONTE 1 - P01","MOVIMENTO 5 STELLE","GIOVANNI CAPONETTO"
"PIEMONTE 1","PIEMONTE 1 - P01","AZIONE - ITALIA VIVA - CALENDA","DANIELA RUFFINO"
"PIEMONTE 1","PIEMONTE 1 - P01","AZIONE - ITALIA VIVA - CALENDA","GIUSEPPE ZOLLINO"
"PIEMONTE 1","PIEMONTE 1 - P01","AZIONE - ITALIA VIVA - CALENDA","PAOLA BARBERO"
"PIEMONTE 1","PIEMONTE 1 - P01","AZIONE - ITALIA VIVA - CALENDA","GIORGIO MERLO"
"PIEMONTE 1","PIEMONTE 1 - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","AUGUSTA MONTARULI"
"PIEMONTE 1","PIEMONTE 1 - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","MARCO PERISSA"
"PIEMONTE 1","PIEMONTE 1 - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","MONICA CIABURRO"
"PIEMONTE 1","PIEMONTE 1 - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","GIOVANNI CROSETTO"
"PIEMONTE 1","PIEMONTE 1 - P01","FORZA ITALIA","CLAUDIA PORCHIETTO"
"PIEMONTE 1","PIEMONTE 1 - P01","FORZA ITALIA","CARLUCCIO GIACOMETTO DETTO CARLO"
"PIEMONTE 1","PIEMONTE 1 - P01","FORZA ITALIA","ALESSANDRA HILDA FRANCESCA BILETTA"
"PIEMONTE 1","PIEMONTE 1 - P01","FORZA ITALIA","LUDOVICO MARIA SEPPILLI"
"PIEMONTE 1","PIEMONTE 1 - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARTINA SEMENZATO"
"PIEMONTE 1","PIEMONTE 1 - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","TOMMASO VARALDO"
"PIEMONTE 1","PIEMONTE 1 - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","LOREDANA MUCI"
"PIEMONTE 1","PIEMONTE 1 - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ANTONIO CUZZILLA"
"PIEMONTE 1","PIEMONTE 1 - P01","LEGA PER SALVINI PREMIER","ELENA MACCANTI"
"PIEMONTE 1","PIEMONTE 1 - P01","LEGA PER SALVINI PREMIER","FLAVIO GASTALDI"
"PIEMONTE 1","PIEMONTE 1 - P01","LEGA PER SALVINI PREMIER","ROBERTA FERRERO"
"PIEMONTE 1","PIEMONTE 1 - P01","LEGA PER SALVINI PREMIER","CARMELO BRUNO"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALEXIT PER L'ITALIA","GIOVANNI FRAJESE"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALEXIT PER L'ITALIA","MARINA PITTAU"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALEXIT PER L'ITALIA","LUCA CELLAMARE"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALEXIT PER L'ITALIA","RIPALTA ARDITO DETTA RITA"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALIA SOVRANA E POPOLARE","MARCO RIZZO"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALIA SOVRANA E POPOLARE","DANIELA TALARICO"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALIA SOVRANA E POPOLARE","CLAUDIO MESSORA"
"PIEMONTE 1","PIEMONTE 1 - P01","ITALIA SOVRANA E POPOLARE","DANIELA LAURA TEODORI"
"PIEMONTE 1","PIEMONTE 1 - P01","+EUROPA","RICCARDO  MAGI"
"PIEMONTE 1","PIEMONTE 1 - P01","+EUROPA","SILVJA MANZI"
"PIEMONTE 1","PIEMONTE 1 - P01","+EUROPA","MARCO CAVALETTO"
"PIEMONTE 1","PIEMONTE 1 - P01","+EUROPA","CHIARA ANDERLINI"
"PIEMONTE 1","PIEMONTE 1 - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","DEBORA SERRACCHIANI"
"PIEMONTE 1","PIEMONTE 1 - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MAURO ANTONIO DONATO LAUS"
"PIEMONTE 1","PIEMONTE 1 - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MARIA CECILIA GUERRA"
"PIEMONTE 1","PIEMONTE 1 - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","STEFANO LEPRI"
"PIEMONTE 1","PIEMONTE 1 - P01","ALLEANZA VERDI E SINISTRA","MARCO GRIMALDI"
"PIEMONTE 1","PIEMONTE 1 - P01","ALLEANZA VERDI E SINISTRA","MARIELLA GRISA'"
"PIEMONTE 1","PIEMONTE 1 - P01","ALLEANZA VERDI E SINISTRA","ANDREA JOHN  DEJANAZ"
"PIEMONTE 1","PIEMONTE 1 - P01","ALLEANZA VERDI E SINISTRA","EMANUELA CHIDICHIMO"
"PIEMONTE 1","PIEMONTE 1 - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","LAURA CASTELLI"
"PIEMONTE 1","PIEMONTE 1 - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","DAVIDE SERRITELLA"
"PIEMONTE 1","PIEMONTE 1 - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","RAFFAELLA CUOMO"
"PIEMONTE 1","PIEMONTE 1 - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","SAVERIO BOGGI"
"PIEMONTE 1","PIEMONTE 1 - P01","VITA","LORENA BASSINO"
"PIEMONTE 1","PIEMONTE 1 - P01","VITA","PAOLO SENSINI"
"PIEMONTE 1","PIEMONTE 1 - P01","VITA","FEDERICA PATTARINO"
"PIEMONTE 1","PIEMONTE 1 - P01","VITA","DAVIDE MICCONE"
