"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"PIEMONTE 1","PIEMONTE 1 - U01","MOVIMENTO 5 STELLE","CARLOTTA TEVERE"
"PIEMONTE 1","PIEMONTE 1 - U01","AZIONE - ITALIA VIVA - CALENDA","MASSIMO GIUNTOLI"
"PIEMONTE 1","PIEMONTE 1 - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","ELENA CHIORINO"
"PIEMONTE 1","PIEMONTE 1 - U01","FORZA ITALIA","ELENA CHIORINO"
"PIEMONTE 1","PIEMONTE 1 - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ELENA CHIORINO"
"PIEMONTE 1","PIEMONTE 1 - U01","LEGA PER SALVINI PREMIER","ELENA CHIORINO"
"PIEMONTE 1","PIEMONTE 1 - U01","ITALEXIT PER L'ITALIA","SERENA TAGLIAFERRI"
"PIEMONTE 1","PIEMONTE 1 - U01","ITALIA SOVRANA E POPOLARE","DOMENICA FOLLINO"
"PIEMONTE 1","PIEMONTE 1 - U01","+EUROPA","RICCARDO MAGI"
"PIEMONTE 1","PIEMONTE 1 - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","RICCARDO MAGI"
"PIEMONTE 1","PIEMONTE 1 - U01","ALLEANZA VERDI E SINISTRA","RICCARDO MAGI"
"PIEMONTE 1","PIEMONTE 1 - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","RICCARDO MAGI"
"PIEMONTE 1","PIEMONTE 1 - U01","VITA","LORENA BASSINO"
"PIEMONTE 1","PIEMONTE 1 - U01","UNIONE POPOLARE CON DE MAGISTRIS","ELISABETTA FORNI"
"PIEMONTE 1","PIEMONTE 1 - U02","MOVIMENTO 5 STELLE","CHIARA APPENDINO"
"PIEMONTE 1","PIEMONTE 1 - U02","AZIONE - ITALIA VIVA - CALENDA","MARIA KATJA AGATE"
"PIEMONTE 1","PIEMONTE 1 - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","AUGUSTA MONTARULI"
"PIEMONTE 1","PIEMONTE 1 - U02","FORZA ITALIA","AUGUSTA MONTARULI"
"PIEMONTE 1","PIEMONTE 1 - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","AUGUSTA MONTARULI"
"PIEMONTE 1","PIEMONTE 1 - U02","LEGA PER SALVINI PREMIER","AUGUSTA MONTARULI"
"PIEMONTE 1","PIEMONTE 1 - U02","ITALEXIT PER L'ITALIA","LUCA GIACOMONE"
"PIEMONTE 1","PIEMONTE 1 - U02","ITALIA SOVRANA E POPOLARE","DANIELA TALARICO"
"PIEMONTE 1","PIEMONTE 1 - U02","+EUROPA","STEFANO LEPRI"
"PIEMONTE 1","PIEMONTE 1 - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","STEFANO LEPRI"
"PIEMONTE 1","PIEMONTE 1 - U02","ALLEANZA VERDI E SINISTRA","STEFANO LEPRI"
"PIEMONTE 1","PIEMONTE 1 - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","STEFANO LEPRI"
"PIEMONTE 1","PIEMONTE 1 - U02","VITA","FEDERICA PATTARINO"
"PIEMONTE 1","PIEMONTE 1 - U02","UNIONE POPOLARE CON DE MAGISTRIS","LUIGI CELEBRE"
"PIEMONTE 1","PIEMONTE 1 - U03","MOVIMENTO 5 STELLE","LUCA CARABETTA"
"PIEMONTE 1","PIEMONTE 1 - U03","AZIONE - ITALIA VIVA - CALENDA","PAOLA BARBERO"
"PIEMONTE 1","PIEMONTE 1 - U03","FRATELLI D'ITALIA CON GIORGIA MELONI","ELENA MACCANTI"
"PIEMONTE 1","PIEMONTE 1 - U03","FORZA ITALIA","ELENA MACCANTI"
"PIEMONTE 1","PIEMONTE 1 - U03","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ELENA MACCANTI"
"PIEMONTE 1","PIEMONTE 1 - U03","LEGA PER SALVINI PREMIER","ELENA MACCANTI"
"PIEMONTE 1","PIEMONTE 1 - U03","ITALEXIT PER L'ITALIA","LUCA CELLAMARE"
"PIEMONTE 1","PIEMONTE 1 - U03","ITALIA SOVRANA E POPOLARE","MONICA AMORE"
"PIEMONTE 1","PIEMONTE 1 - U03","+EUROPA","DAVIDE GARIGLIO"
"PIEMONTE 1","PIEMONTE 1 - U03","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","DAVIDE GARIGLIO"
"PIEMONTE 1","PIEMONTE 1 - U03","ALLEANZA VERDI E SINISTRA","DAVIDE GARIGLIO"
"PIEMONTE 1","PIEMONTE 1 - U03","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","DAVIDE GARIGLIO"
"PIEMONTE 1","PIEMONTE 1 - U03","VITA","GIANPIERO ALAIMO"
"PIEMONTE 1","PIEMONTE 1 - U03","UNIONE POPOLARE CON DE MAGISTRIS","ROSA BARTIROMO"
"PIEMONTE 1","PIEMONTE 1 - U04","MOVIMENTO 5 STELLE","ANTONINO IARIA"
"PIEMONTE 1","PIEMONTE 1 - U04","AZIONE - ITALIA VIVA - CALENDA","OSVALDO NAPOLI"
"PIEMONTE 1","PIEMONTE 1 - U04","FRATELLI D'ITALIA CON GIORGIA MELONI","ALESSANDRO GIGLIO VIGNA"
"PIEMONTE 1","PIEMONTE 1 - U04","FORZA ITALIA","ALESSANDRO GIGLIO VIGNA"
"PIEMONTE 1","PIEMONTE 1 - U04","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ALESSANDRO GIGLIO VIGNA"
"PIEMONTE 1","PIEMONTE 1 - U04","LEGA PER SALVINI PREMIER","ALESSANDRO GIGLIO VIGNA"
"PIEMONTE 1","PIEMONTE 1 - U04","ITALEXIT PER L'ITALIA","ALDO QUERIO GIANETTO"
"PIEMONTE 1","PIEMONTE 1 - U04","ITALIA SOVRANA E POPOLARE","VINCENZO VALERIO DONATO"
"PIEMONTE 1","PIEMONTE 1 - U04","+EUROPA","ANTONELLA GIORDANO"
"PIEMONTE 1","PIEMONTE 1 - U04","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANTONELLA GIORDANO"
"PIEMONTE 1","PIEMONTE 1 - U04","ALLEANZA VERDI E SINISTRA","ANTONELLA GIORDANO"
"PIEMONTE 1","PIEMONTE 1 - U04","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANTONELLA GIORDANO"
"PIEMONTE 1","PIEMONTE 1 - U04","VITA","ROBERTO CONEDERA"
"PIEMONTE 1","PIEMONTE 1 - U04","UNIONE POPOLARE CON DE MAGISTRIS","CADIGIA ESTER PERINI"
"PIEMONTE 1","PIEMONTE 1 - U05","MOVIMENTO 5 STELLE","ANTONELLA PEPE"
"PIEMONTE 1","PIEMONTE 1 - U05","AZIONE - ITALIA VIVA - CALENDA","DANIELA RUFFINO"
"PIEMONTE 1","PIEMONTE 1 - U05","FRATELLI D'ITALIA CON GIORGIA MELONI","ROBERTO PELLA"
"PIEMONTE 1","PIEMONTE 1 - U05","FORZA ITALIA","ROBERTO PELLA"
"PIEMONTE 1","PIEMONTE 1 - U05","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ROBERTO PELLA"
"PIEMONTE 1","PIEMONTE 1 - U05","LEGA PER SALVINI PREMIER","ROBERTO PELLA"
"PIEMONTE 1","PIEMONTE 1 - U05","ITALEXIT PER L'ITALIA","MARINA PITTAU"
"PIEMONTE 1","PIEMONTE 1 - U05","ITALIA SOVRANA E POPOLARE","VINCENZA DI BLASI"
"PIEMONTE 1","PIEMONTE 1 - U05","+EUROPA","CARMEN BONINO"
"PIEMONTE 1","PIEMONTE 1 - U05","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CARMEN BONINO"
"PIEMONTE 1","PIEMONTE 1 - U05","ALLEANZA VERDI E SINISTRA","CARMEN BONINO"
"PIEMONTE 1","PIEMONTE 1 - U05","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CARMEN BONINO"
"PIEMONTE 1","PIEMONTE 1 - U05","VITA","ANNARITA PLATANIA"
"PIEMONTE 1","PIEMONTE 1 - U05","UNIONE POPOLARE CON DE MAGISTRIS","MARCO SCIBONA"
"PIEMONTE 2","PIEMONTE 2 - U02","AZIONE - ITALIA VIVA - CALENDA","VITTORIO BARAZZOTTO"
"PIEMONTE 2","PIEMONTE 2 - U02","UNIONE POPOLARE CON DE MAGISTRIS","DANIELE CHERUBIN"
"PIEMONTE 2","PIEMONTE 2 - U02","+EUROPA","EMANUELA ALLEGRA DETTA MILU'"
"PIEMONTE 2","PIEMONTE 2 - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","EMANUELA ALLEGRA DETTA MILU'"
"PIEMONTE 2","PIEMONTE 2 - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","EMANUELA ALLEGRA DETTA MILU'"
"PIEMONTE 2","PIEMONTE 2 - U02","ALLEANZA VERDI E SINISTRA","EMANUELA ALLEGRA DETTA MILU'"
"PIEMONTE 2","PIEMONTE 2 - U02","MOVIMENTO 5 STELLE","MARIO IACOPINO"
"PIEMONTE 2","PIEMONTE 2 - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","ALBERTO  LUIGI GUSMEROLI"
"PIEMONTE 2","PIEMONTE 2 - U02","LEGA PER SALVINI PREMIER","ALBERTO  LUIGI GUSMEROLI"
"PIEMONTE 2","PIEMONTE 2 - U02","FORZA ITALIA","ALBERTO  LUIGI GUSMEROLI"
"PIEMONTE 2","PIEMONTE 2 - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ALBERTO  LUIGI GUSMEROLI"
"PIEMONTE 2","PIEMONTE 2 - U02","ITALIA SOVRANA E POPOLARE","MATTIA BIANCHI"
