"CIRCOSCRIZIONE","COLLEGIO_PLURINOMINALE","DESCR_LISTA","CANDIDATO"
"PIEMONTE","PIEMONTE - P01","MASTELLA NOI DI CENTRO EUROPEISTI","MAURO CASSI"
"PIEMONTE","PIEMONTE - P01","MASTELLA NOI DI CENTRO EUROPEISTI","PAOLA SPINOSA"
"PIEMONTE","PIEMONTE - P01","ITALEXIT PER L'ITALIA","NUNZIA ALESSANDRA SCHILIRO'"
"PIEMONTE","PIEMONTE - P01","ITALEXIT PER L'ITALIA","CARLO MARTELLI"
"PIEMONTE","PIEMONTE - P01","ITALEXIT PER L'ITALIA","SILVIA MARTINI"
"PIEMONTE","PIEMONTE - P01","ITALEXIT PER L'ITALIA","MARCO GALIZIA"
"PIEMONTE","PIEMONTE - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","DANIELA GARNERO SANTANCHE'"
"PIEMONTE","PIEMONTE - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","LUCIO MALAN"
"PIEMONTE","PIEMONTE - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","PAOLA AMBROGIO"
"PIEMONTE","PIEMONTE - P01","FRATELLI D'ITALIA CON GIORGIA MELONI","ETTORE PUGLISI"
"PIEMONTE","PIEMONTE - P01","LEGA PER SALVINI PREMIER","MARZIA CASOLATI"
"PIEMONTE","PIEMONTE - P01","LEGA PER SALVINI PREMIER","CESARE PIANASSO"
"PIEMONTE","PIEMONTE - P01","LEGA PER SALVINI PREMIER","DENISE BURDET"
"PIEMONTE","PIEMONTE - P01","LEGA PER SALVINI PREMIER","ROBERTO PILONE"
"PIEMONTE","PIEMONTE - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","CARLOTTA BOFFA"
"PIEMONTE","PIEMONTE - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","LUCIO SCARPINATO"
"PIEMONTE","PIEMONTE - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","VALERIA FURNO'"
"PIEMONTE","PIEMONTE - P01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ROSSANO GIORELLO"
"PIEMONTE","PIEMONTE - P01","FORZA ITALIA","MARIA RIZZOTTI"
"PIEMONTE","PIEMONTE - P01","FORZA ITALIA","ANDREA TRONZANO"
"PIEMONTE","PIEMONTE - P01","FORZA ITALIA","CLARA MARTA"
"PIEMONTE","PIEMONTE - P01","FORZA ITALIA","MAURO FAVA"
"PIEMONTE","PIEMONTE - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANDREA SALVATI"
"PIEMONTE","PIEMONTE - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","SILVIA CARBONE"
"PIEMONTE","PIEMONTE - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","DANIELE DEL GROSSO"
"PIEMONTE","PIEMONTE - P01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","SIMONA BRUSCHI"
"PIEMONTE","PIEMONTE - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANNA ROSSOMANDO"
"PIEMONTE","PIEMONTE - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANDREA GIORGIS"
"PIEMONTE","PIEMONTE - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","BEATRICE LORENZIN"
"PIEMONTE","PIEMONTE - P01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FRANCESCO VERDUCCI"
"PIEMONTE","PIEMONTE - P01","+EUROPA","EMMA BONINO"
"PIEMONTE","PIEMONTE - P01","+EUROPA","MARCO TARADASH"
"PIEMONTE","PIEMONTE - P01","+EUROPA","MARINA DEGRASSI"
"PIEMONTE","PIEMONTE - P01","+EUROPA","SILVIO VIALE"
"PIEMONTE","PIEMONTE - P01","ALLEANZA VERDI E SINISTRA","VALENTINA CERA"
"PIEMONTE","PIEMONTE - P01","ALLEANZA VERDI E SINISTRA","ENRICO MANFREDI"
"PIEMONTE","PIEMONTE - P01","ALLEANZA VERDI E SINISTRA","CONCETTA INCRETA DETTA KETTY"
"PIEMONTE","PIEMONTE - P01","ALLEANZA VERDI E SINISTRA","FABRIZIO FROSINA"
"PIEMONTE","PIEMONTE - P01","MOVIMENTO 5 STELLE","ELISA PIRRO"
"PIEMONTE","PIEMONTE - P01","MOVIMENTO 5 STELLE","ALBERTO UNIA"
"PIEMONTE","PIEMONTE - P01","MOVIMENTO 5 STELLE","BARBARA AZZARA'"
"PIEMONTE","PIEMONTE - P01","MOVIMENTO 5 STELLE","ROBERTO FALCONE"
"PIEMONTE","PIEMONTE - P01","AZIONE - ITALIA VIVA - CALENDA","BARBARA MASINI"
"PIEMONTE","PIEMONTE - P01","AZIONE - ITALIA VIVA - CALENDA","LUCIANO NOBILI"
"PIEMONTE","PIEMONTE - P01","AZIONE - ITALIA VIVA - CALENDA","SILVIA FREGOLENT"
"PIEMONTE","PIEMONTE - P01","AZIONE - ITALIA VIVA - CALENDA","ROBERTO CATALDO FAGGIANO"
"PIEMONTE","PIEMONTE - P01","VITA","STEFANO MONTANARI"
"PIEMONTE","PIEMONTE - P01","VITA","ANGELA FRA"
"PIEMONTE","PIEMONTE - P01","VITA","GALGANO PALAFERRI"
"PIEMONTE","PIEMONTE - P01","VITA","GIUSEPPA COSTANTINO"
"PIEMONTE","PIEMONTE - P01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","CARLO BRAVI"
"PIEMONTE","PIEMONTE - P01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","LUCIANELLA PRESTA"
"PIEMONTE","PIEMONTE - P01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","ALESSANDRO SPORTIELLO"
"PIEMONTE","PIEMONTE - P01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","TERESA TRITTO"
"PIEMONTE","PIEMONTE - P01","ITALIA SOVRANA E POPOLARE","SIMONA MANGIANTE"
"PIEMONTE","PIEMONTE - P01","ITALIA SOVRANA E POPOLARE","LUCIANO FOLCO"
"PIEMONTE","PIEMONTE - P01","ITALIA SOVRANA E POPOLARE","ROSSELLA MARRA"
"PIEMONTE","PIEMONTE - P01","ITALIA SOVRANA E POPOLARE","DIEGO SILVIO NOVO"
"PIEMONTE","PIEMONTE - P01","UNIONE POPOLARE CON DE MAGISTRIS","EMANUELE NEGRO"
"PIEMONTE","PIEMONTE - P01","UNIONE POPOLARE CON DE MAGISTRIS","MARIA TERESA SILVESTRINI DETTA TERRY"
"PIEMONTE","PIEMONTE - P01","UNIONE POPOLARE CON DE MAGISTRIS","LUIGI SARAGNESE"
"PIEMONTE","PIEMONTE - P01","UNIONE POPOLARE CON DE MAGISTRIS","ISABELLA LIGUORI"
"PIEMONTE","PIEMONTE - P02","MASTELLA NOI DI CENTRO EUROPEISTI","GIOVANNI FREZZATO"
"PIEMONTE","PIEMONTE - P02","MASTELLA NOI DI CENTRO EUROPEISTI","DELIA LUISELLA FERRARESE"
"PIEMONTE","PIEMONTE - P02","MASTELLA NOI DI CENTRO EUROPEISTI","SERGIO BELTRAME"
"PIEMONTE","PIEMONTE - P02","ITALEXIT PER L'ITALIA","FRANCO QUAGLIA"
"PIEMONTE","PIEMONTE - P02","ITALEXIT PER L'ITALIA","CHIARA CHIRIO"
"PIEMONTE","PIEMONTE - P02","ITALEXIT PER L'ITALIA","MAURIZIO SCALABRIN"
"PIEMONTE","PIEMONTE - P02","ITALEXIT PER L'ITALIA","SILVIA MARTINI"
"PIEMONTE","PIEMONTE - P02","FRATELLI D'ITALIA CON GIORGIA MELONI","LUCIO MALAN"
"PIEMONTE","PIEMONTE - P02","FRATELLI D'ITALIA CON GIORGIA MELONI","PAOLA AMBROGIO"
"PIEMONTE","PIEMONTE - P02","FRATELLI D'ITALIA CON GIORGIA MELONI","GIORGIO SALVITTI"
"PIEMONTE","PIEMONTE - P02","FRATELLI D'ITALIA CON GIORGIA MELONI","GIOVANNA PELLANDA"
"PIEMONTE","PIEMONTE - P02","LEGA PER SALVINI PREMIER","MASSIMO GARAVAGLIA"
"PIEMONTE","PIEMONTE - P02","LEGA PER SALVINI PREMIER","MARZIA CASOLATI"
"PIEMONTE","PIEMONTE - P02","LEGA PER SALVINI PREMIER","ERALDO BOTTA"
"PIEMONTE","PIEMONTE - P02","LEGA PER SALVINI PREMIER","GIOVANNA QUAGLIA"
"PIEMONTE","PIEMONTE - P02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","NATALE UBALDO CACCIOLA"
"PIEMONTE","PIEMONTE - P02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","FLORIANA FACCARO"
"PIEMONTE","PIEMONTE - P02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ALDO MARIO ROSA"
"PIEMONTE","PIEMONTE - P02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","SABRINA GAMBA"
"PIEMONTE","PIEMONTE - P02","FORZA ITALIA","SILVIO BERLUSCONI"
"PIEMONTE","PIEMONTE - P02","FORZA ITALIA","LICIA RONZULLI"
"PIEMONTE","PIEMONTE - P02","FORZA ITALIA","ROBERTO ROSSO"
"PIEMONTE","PIEMONTE - P02","FORZA ITALIA","FRANCA ROSO"
"PIEMONTE","PIEMONTE - P02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","STEFANIA RECAGNO"
"PIEMONTE","PIEMONTE - P02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CARLO FRUMENTO"
"PIEMONTE","PIEMONTE - P02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","SILVIA CARBONE"
