"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"PIEMONTE","PIEMONTE - U01","MASTELLA NOI DI CENTRO EUROPEISTI","PAOLA SPINOSA"
"PIEMONTE","PIEMONTE - U01","ITALEXIT PER L'ITALIA","SILVIA MARTINI"
"PIEMONTE","PIEMONTE - U01","FRATELLI D'ITALIA CON GIORGIA MELONI","MARZIA CASOLATI"
"PIEMONTE","PIEMONTE - U01","LEGA PER SALVINI PREMIER","MARZIA CASOLATI"
"PIEMONTE","PIEMONTE - U01","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARZIA CASOLATI"
"PIEMONTE","PIEMONTE - U01","FORZA ITALIA","MARZIA CASOLATI"
"PIEMONTE","PIEMONTE - U01","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANDREA GIORGIS"
"PIEMONTE","PIEMONTE - U01","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANDREA GIORGIS"
"PIEMONTE","PIEMONTE - U01","+EUROPA","ANDREA GIORGIS"
"PIEMONTE","PIEMONTE - U01","ALLEANZA VERDI E SINISTRA","ANDREA GIORGIS"
"PIEMONTE","PIEMONTE - U01","MOVIMENTO 5 STELLE","ALBERTO UNIA"
"PIEMONTE","PIEMONTE - U01","AZIONE - ITALIA VIVA - CALENDA","CRISTINA PEDDIS"
"PIEMONTE","PIEMONTE - U01","VITA","MARIA LUISA TOMA"
"PIEMONTE","PIEMONTE - U01","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","STEFANO GRASSO"
"PIEMONTE","PIEMONTE - U01","ITALIA SOVRANA E POPOLARE","DIEGO SILVIO NOVO"
"PIEMONTE","PIEMONTE - U01","UNIONE POPOLARE CON DE MAGISTRIS","ADRIANO SCANGA"
"PIEMONTE","PIEMONTE - U02","MASTELLA NOI DI CENTRO EUROPEISTI","MAURO CASSI"
"PIEMONTE","PIEMONTE - U02","ITALEXIT PER L'ITALIA","MANUELA LATINO"
"PIEMONTE","PIEMONTE - U02","FRATELLI D'ITALIA CON GIORGIA MELONI","PAOLA AMBROGIO"
"PIEMONTE","PIEMONTE - U02","LEGA PER SALVINI PREMIER","PAOLA AMBROGIO"
"PIEMONTE","PIEMONTE - U02","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","PAOLA AMBROGIO"
"PIEMONTE","PIEMONTE - U02","FORZA ITALIA","PAOLA AMBROGIO"
"PIEMONTE","PIEMONTE - U02","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ELENA APOLLONIO"
"PIEMONTE","PIEMONTE - U02","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ELENA APOLLONIO"
"PIEMONTE","PIEMONTE - U02","+EUROPA","ELENA APOLLONIO"
"PIEMONTE","PIEMONTE - U02","ALLEANZA VERDI E SINISTRA","ELENA APOLLONIO"
"PIEMONTE","PIEMONTE - U02","MOVIMENTO 5 STELLE","ELISA PIRRO"
"PIEMONTE","PIEMONTE - U02","AZIONE - ITALIA VIVA - CALENDA","MICHEL BOUQUET"
"PIEMONTE","PIEMONTE - U02","VITA","ANGELA FRA"
"PIEMONTE","PIEMONTE - U02","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","MARILENA FORNELLI BARDINA"
"PIEMONTE","PIEMONTE - U02","ITALIA SOVRANA E POPOLARE","CARLO DEL VECCHIO"
"PIEMONTE","PIEMONTE - U02","UNIONE POPOLARE CON DE MAGISTRIS","DANIELA ALFONZI"
"PIEMONTE","PIEMONTE - U03","MASTELLA NOI DI CENTRO EUROPEISTI","SERGIO BELTRAME"
"PIEMONTE","PIEMONTE - U03","ITALEXIT PER L'ITALIA","PAUL RENATO ROSETTE"
"PIEMONTE","PIEMONTE - U03","FRATELLI D'ITALIA CON GIORGIA MELONI","GAETANO NASTRI"
"PIEMONTE","PIEMONTE - U03","LEGA PER SALVINI PREMIER","GAETANO NASTRI"
"PIEMONTE","PIEMONTE - U03","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GAETANO NASTRI"
"PIEMONTE","PIEMONTE - U03","FORZA ITALIA","GAETANO NASTRI"
"PIEMONTE","PIEMONTE - U03","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ROSSANO PIROVANO"
"PIEMONTE","PIEMONTE - U03","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ROSSANO PIROVANO"
"PIEMONTE","PIEMONTE - U03","+EUROPA","ROSSANO PIROVANO"
"PIEMONTE","PIEMONTE - U03","ALLEANZA VERDI E SINISTRA","ROSSANO PIROVANO"
"PIEMONTE","PIEMONTE - U03","MOVIMENTO 5 STELLE","LUCA ZACCHERO"
"PIEMONTE","PIEMONTE - U03","AZIONE - ITALIA VIVA - CALENDA","ROBERTO CATALDO FAGGIANO"
"PIEMONTE","PIEMONTE - U03","VITA","GALGANO PALAFERRI"
"PIEMONTE","PIEMONTE - U03","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","ELEONORA VETERE"
"PIEMONTE","PIEMONTE - U03","ITALIA SOVRANA E POPOLARE","FRANCESCA BUCINO"
"PIEMONTE","PIEMONTE - U03","UNIONE POPOLARE CON DE MAGISTRIS","GABRIELE ARATI"
"PIEMONTE","PIEMONTE - U04","MASTELLA NOI DI CENTRO EUROPEISTI","DELIA LUISELLA FERRARESE"
"PIEMONTE","PIEMONTE - U04","ITALEXIT PER L'ITALIA","CHIARA CHIRIO"
"PIEMONTE","PIEMONTE - U04","FRATELLI D'ITALIA CON GIORGIA MELONI","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","LEGA PER SALVINI PREMIER","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","FORZA ITALIA","PAOLO ZANGRILLO"
"PIEMONTE","PIEMONTE - U04","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","+EUROPA","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","ALLEANZA VERDI E SINISTRA","MARIA RITA ROSSA"
"PIEMONTE","PIEMONTE - U04","MOVIMENTO 5 STELLE","MARIASSUNTA MATRISCIANO DETTA SUSY"
"PIEMONTE","PIEMONTE - U04","AZIONE - ITALIA VIVA - CALENDA","ANNA BRACCO"
"PIEMONTE","PIEMONTE - U04","VITA","GIUSEPPA COSTANTINO"
"PIEMONTE","PIEMONTE - U04","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","LUIGI SALVANESCHI"
"PIEMONTE","PIEMONTE - U04","ITALIA SOVRANA E POPOLARE","FULVIO GRIMALDI"
"PIEMONTE","PIEMONTE - U04","UNIONE POPOLARE CON DE MAGISTRIS","MANRICA BURI"
"PIEMONTE","PIEMONTE - U05","MASTELLA NOI DI CENTRO EUROPEISTI","GIOVANNI FREZZATO"
"PIEMONTE","PIEMONTE - U05","ITALEXIT PER L'ITALIA","DAVIDE GALLO"
"PIEMONTE","PIEMONTE - U05","FRATELLI D'ITALIA CON GIORGIA MELONI","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","LEGA PER SALVINI PREMIER","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","FORZA ITALIA","GIORGIO MARIA BERGESIO"
"PIEMONTE","PIEMONTE - U05","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FIAMMETTA ROSSO"
"PIEMONTE","PIEMONTE - U05","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FIAMMETTA ROSSO"
"PIEMONTE","PIEMONTE - U05","+EUROPA","FIAMMETTA ROSSO"
