"REGIONE";"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"BERTOLA";"GIORGIO";1232,00;"MOVIMENTO 5 STELLE";1024,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CIRIO";"ALBERTO";5527,00;"LEGA SALVINI PIEMONTE";4171,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CIRIO";"ALBERTO";5527,00;"SÌ TAV SÌ LAVORO PER IL PIEMONTE";90,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CIRIO";"ALBERTO";5527,00;"GIORGIA MELONI FRATELLI D'ITALIA";249,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CIRIO";"ALBERTO";5527,00;"FORZA ITALIA BERLUSCONI";849,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CIRIO";"ALBERTO";5527,00;"LIBERTAS UDC - PPE";35,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"MODERATI PER CHIAMPARINO";54,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"LIBERI UGUALI VERDI";351,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"CHIAMPARINO PER IL PIEMONTE DEL SÌ";527,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"CHIAMPARINO SÌ DEMOS";16,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"+EUROPA SÌ TAV";108,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"PARTITO DEMOCRATICO";1377,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"CHIAMPARINO";"SERGIO";2724,00;"ITALIA IN COMUNE";24,00
"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";"ACQUI TERME";16492,00;7640,00;9869,00;4714,00;124,00;"BOERO";"VALTER";44,00;"IL POPOLO DELLA FAMIGLIA";35,00
