"REGIONE";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"PARTITO DEMOCRATICO";35,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"MOVIMENTO CINQUESTELLE";10,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"TESORO CALABRIA";7,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"PARTITO ANIMALISTA - DEMOCRATICI PROGRESSISTI";5,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"P.S.I.";1,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"EUROPA VERDE";0,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"BRUNI";"AMALIA CECILIA";261,00;"LA CALABRIA SICURA";202,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"DE MAGISTRIS";"LUIGI";62,00;"DE MAGISTRIS PRESIDENTE";11,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"DE MAGISTRIS";"LUIGI";62,00;"UNITI CON DE MAGISTRIS";4,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"DE MAGISTRIS";"LUIGI";62,00;"CALABRIA RESISTENTE E SOLIDALE";7,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"DE MAGISTRIS";"LUIGI";62,00;"UN'ALTRA CALABRIA E' POSSIBILE";15,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"DE MAGISTRIS";"LUIGI";62,00;"PER LA CALABRIA CON DE MAGISTRIS";19,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"DE MAGISTRIS";"LUIGI";62,00;"DEMA";6,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"NOI CON L'ITALIA";7,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"FRATELLI D'ITALIA";9,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"UNIONE DI CENTRO";14,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"CORAGGIO ITALIA";17,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"LEGA SALVINI CALABRIA";29,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"FORZA ITALIA";134,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OCCHIUTO";"ROBERTO";220,00;"FORZA AZZURRI";8,00
"CALABRIA";"NORD";"COSENZA";"ACQUAFORMOSA";1371,00;684,00;576,00;302,00;6,00;"OLIVERIO";"GERARDO MARIO";1,00;"OLIVERIO PRESIDENTE";1,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"EUROPA VERDE";0,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"PARTITO DEMOCRATICO";87,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"MOVIMENTO CINQUESTELLE";43,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"TESORO CALABRIA";16,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"LA CALABRIA SICURA";14,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"PARTITO ANIMALISTA - DEMOCRATICI PROGRESSISTI";1,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"BRUNI";"AMALIA CECILIA";170,00;"P.S.I.";2,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"UNITI CON DE MAGISTRIS";4,00
"CALABRIA";"NORD";"COSENZA";"ACQUAPPESA";2599,00;1279,00;781,00;401,00;9,00;"DE MAGISTRIS";"LUIGI";178,00;"DEMA";58,00
