"REGIONE";"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"COGNOME";"NOME";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"SALUDECIO";2621;1358;1434;772;7;"LUGLI";"STEFANO";"3";"L'ALTRA EMILIA ROMAGNA";"3"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"SAN CLEMENTE";4359;2173;2571;1327;16;"LUGLI";"STEFANO";"8";"L'ALTRA EMILIA ROMAGNA";"7"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"SAN GIOVANNI IN MARIGNANO";7676;3758;4996;2534;29;"LUGLI";"STEFANO";"6";"L'ALTRA EMILIA ROMAGNA";"6"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"SAN LEO";2965;1470;1666;877;5;"LUGLI";"STEFANO";"3";"L'ALTRA EMILIA ROMAGNA";"1"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"SANT'AGATA FELTRIA";2073;1052;1187;626;5;"LUGLI";"STEFANO";"2";"L'ALTRA EMILIA ROMAGNA";"3"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"SANTARCANGELO DI ROMAGNA";18139;8788;12607;6310;62;"LUGLI";"STEFANO";"39";"L'ALTRA EMILIA ROMAGNA";"42"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"TALAMELLO";1082;534;639;334;3;"LUGLI";"STEFANO";"2";"L'ALTRA EMILIA ROMAGNA";"3"
"EMILIA-ROMAGNA";"RIMINI";"RIMINI";"VERUCCHIO";8558;4211;5548;2831;25;"LUGLI";"STEFANO";"10";"L'ALTRA EMILIA ROMAGNA";"10"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"BRISIGHELLA";6026;3007;4217;2142;29;"LUGLI";"STEFANO";"7";"L'ALTRA EMILIA ROMAGNA";"10"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"CASOLA VALSENIO";2060;1027;1504;779;9;"LUGLI";"STEFANO";"8";"L'ALTRA EMILIA ROMAGNA";"8"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"CASTEL BOLOGNESE";7223;3567;5167;2628;34;"LUGLI";"STEFANO";"6";"L'ALTRA EMILIA ROMAGNA";"7"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"CERVIA";23288;11126;15603;7598;75;"LUGLI";"STEFANO";"27";"L'ALTRA EMILIA ROMAGNA";"52"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"CONSELICE";7247;3508;4760;2350;22;"LUGLI";"STEFANO";"26";"L'ALTRA EMILIA ROMAGNA";"29"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"COTIGNOLA";5959;2862;4329;2146;37;"LUGLI";"STEFANO";"5";"L'ALTRA EMILIA ROMAGNA";"7"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"FAENZA";45617;22018;32346;16025;129;"LUGLI";"STEFANO";"74";"L'ALTRA EMILIA ROMAGNA";"97"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"FUSIGNANO";6215;3055;4365;2185;26;"LUGLI";"STEFANO";"17";"L'ALTRA EMILIA ROMAGNA";"17"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"LUGO";25194;12024;17941;8788;95;"LUGLI";"STEFANO";"51";"L'ALTRA EMILIA ROMAGNA";"71"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"MASSA LOMBARDA";7600;3719;5026;2469;25;"LUGLI";"STEFANO";"26";"L'ALTRA EMILIA ROMAGNA";"28"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"RAVENNA";123997;59774;85480;41850;370;"LUGLI";"STEFANO";"220";"L'ALTRA EMILIA ROMAGNA";"271"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"RIOLO TERME";4476;2239;3146;1610;18;"LUGLI";"STEFANO";"6";"L'ALTRA EMILIA ROMAGNA";"9"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"RUSSI";9473;4639;6817;3411;48;"LUGLI";"STEFANO";"33";"L'ALTRA EMILIA ROMAGNA";"41"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"SANT'AGATA SUL SANTERNO";2267;1128;1555;773;11;"LUGLI";"STEFANO";"3";"L'ALTRA EMILIA ROMAGNA";"4"
"EMILIA-ROMAGNA";"RAVENNA";"RAVENNA";"SOLAROLO";3344;1621;2432;1203;21;"LUGLI";"STEFANO";"7";"L'ALTRA EMILIA ROMAGNA";"24"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"ARGENTA";17462;8454;11691;5830;67;"LUGLI";"STEFANO";"21";"L'ALTRA EMILIA ROMAGNA";"29"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"BONDENO";11545;5552;7650;3809;45;"LUGLI";"STEFANO";"21";"L'ALTRA EMILIA ROMAGNA";"26"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"CENTO";28038;13832;18718;9453;132;"LUGLI";"STEFANO";"61";"L'ALTRA EMILIA ROMAGNA";"70"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"CODIGORO";9977;4757;6060;3031;35;"LUGLI";"STEFANO";"20";"L'ALTRA EMILIA ROMAGNA";"23"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"COMACCHIO";19438;9598;11319;5805;63;"LUGLI";"STEFANO";"43";"L'ALTRA EMILIA ROMAGNA";"51"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"COPPARO";13880;6684;9057;4547;49;"LUGLI";"STEFANO";"33";"L'ALTRA EMILIA ROMAGNA";"31"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"FERRARA";108188;51022;72466;35021;314;"LUGLI";"STEFANO";"192";"L'ALTRA EMILIA ROMAGNA";"244"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"FISCAGLIA";7529;3679;4527;2276;36;"LUGLI";"STEFANO";"21";"L'ALTRA EMILIA ROMAGNA";"21"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"GORO";3119;1506;2215;1106;16;"LUGLI";"STEFANO";"2";"L'ALTRA EMILIA ROMAGNA";"2"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"JOLANDA DI SAVOIA";2326;1122;1494;758;9;"LUGLI";"STEFANO";"3";"L'ALTRA EMILIA ROMAGNA";"5"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"LAGOSANTO";4127;2018;2677;1354;10;"LUGLI";"STEFANO";"4";"L'ALTRA EMILIA ROMAGNA";"3"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"MASI TORELLO";1903;895;1384;683;14;"LUGLI";"STEFANO";"5";"L'ALTRA EMILIA ROMAGNA";"5"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"MESOLA";5780;2827;3600;1842;20;"LUGLI";"STEFANO";"12";"L'ALTRA EMILIA ROMAGNA";"13"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"OSTELLATO";5103;2497;3311;1694;43;"LUGLI";"STEFANO";"38";"L'ALTRA EMILIA ROMAGNA";"39"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"POGGIO RENATICO";7680;3755;5225;2594;27;"LUGLI";"STEFANO";"16";"L'ALTRA EMILIA ROMAGNA";"12"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"PORTOMAGGIORE";9394;4581;6037;3023;30;"LUGLI";"STEFANO";"29";"L'ALTRA EMILIA ROMAGNA";"35"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"RIVA DEL PO";6595;3261;4055;2108;32;"LUGLI";"STEFANO";"10";"L'ALTRA EMILIA ROMAGNA";"11"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"TERRE DEL RENO";8073;3957;5431;2742;35;"LUGLI";"STEFANO";"24";"L'ALTRA EMILIA ROMAGNA";"30"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"TRESIGNANA";5925;2822;3774;1881;14;"LUGLI";"STEFANO";"8";"L'ALTRA EMILIA ROMAGNA";"11"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"VIGARANO MAINARDA";6321;3073;4433;2210;19;"LUGLI";"STEFANO";"7";"L'ALTRA EMILIA ROMAGNA";"6"
"EMILIA-ROMAGNA";"FERRARA";"FERRARA";"VOGHIERA";3090;1493;2158;1094;19;"LUGLI";"STEFANO";"7";"L'ALTRA EMILIA ROMAGNA";"6"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"ALTO RENO TERME";5721;2772;3890;1933;19;"LUGLI";"STEFANO";"3";"L'ALTRA EMILIA ROMAGNA";"6"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"ANZOLA DELL'EMILIA";9396;4654;7013;3474;31;"LUGLI";"STEFANO";"11";"L'ALTRA EMILIA ROMAGNA";"15"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"ARGELATO";7667;3751;5774;2855;26;"LUGLI";"STEFANO";"12";"L'ALTRA EMILIA ROMAGNA";"10"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"BARICELLA";5294;2643;3692;1894;35;"LUGLI";"STEFANO";"2";"L'ALTRA EMILIA ROMAGNA";"2"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"BENTIVOGLIO";4409;2182;3234;1627;15;"LUGLI";"STEFANO";"5";"L'ALTRA EMILIA ROMAGNA";"7"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"BOLOGNA";304243;143577;212196;100930;693;"LUGLI";"STEFANO";"463";"L'ALTRA EMILIA ROMAGNA";"704"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"BORGO TOSSIGNANO";2501;1266;1679;842;9;"LUGLI";"STEFANO";"6";"L'ALTRA EMILIA ROMAGNA";"9"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"BUDRIO";14835;7284;10427;5232;72;"LUGLI";"STEFANO";"12";"L'ALTRA EMILIA ROMAGNA";"23"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CALDERARA DI RENO";10539;5170;7876;3925;35;"LUGLI";"STEFANO";"14";"L'ALTRA EMILIA ROMAGNA";"19"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CAMUGNANO";1720;882;1138;608;5;"LUGLI";"STEFANO";"2";"L'ALTRA EMILIA ROMAGNA";"2"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASALECCHIO DI RENO";28284;13314;20601;9776;101;"LUGLI";"STEFANO";"43";"L'ALTRA EMILIA ROMAGNA";"49"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASALFIUMANESE";2651;1338;1838;946;14;"LUGLI";"STEFANO";"2";"L'ALTRA EMILIA ROMAGNA";"4"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASTEL D'AIANO";1611;823;1107;585;5;"LUGLI";"STEFANO";"5";"L'ALTRA EMILIA ROMAGNA";"5"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASTEL DEL RIO";971;482;628;327;3;"LUGLI";"STEFANO";"1";"L'ALTRA EMILIA ROMAGNA";"3"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASTEL DI CASIO";2820;1411;1993;1024;8;"LUGLI";"STEFANO";"1";"L'ALTRA EMILIA ROMAGNA";"1"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASTEL GUELFO DI BOLOGNA";3531;1764;2464;1251;13;"LUGLI";"STEFANO";"7";"L'ALTRA EMILIA ROMAGNA";"8"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASTELLO D'ARGILE";5016;2546;3594;1864;12;"LUGLI";"STEFANO";"6";"L'ALTRA EMILIA ROMAGNA";"8"
"EMILIA-ROMAGNA";"BOLOGNA";"BOLOGNA";"CASTEL MAGGIORE";14558;7031;10956;5346;38;"LUGLI";"STEFANO";"12";"L'ALTRA EMILIA ROMAGNA";"16"
