"regione";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"cognome";"nome";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"LIGURIA";"SAVONA";"SAVONA";"TOIRANO";2416;1182;1439;691;24;"CASSIMATIS";"MARIKA";"2";;
"LIGURIA";"SAVONA";"SAVONA";"TOVO SAN GIACOMO";2234;1099;1321;651;35;"CASSIMATIS";"MARIKA";"2";;
"LIGURIA";"SAVONA";"SAVONA";"URBE";793;401;383;198;13;"CASSIMATIS";"MARIKA";"1";;
"LIGURIA";"SAVONA";"SAVONA";"VADO LIGURE";7207;3432;4177;2060;124;"CASSIMATIS";"MARIKA";"8";;
"LIGURIA";"SAVONA";"SAVONA";"VARAZZE";12164;5896;6747;3340;130;"CASSIMATIS";"MARIKA";"9";;
"LIGURIA";"SAVONA";"SAVONA";"VENDONE";337;163;219;111;3;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"VEZZI PORTIO";788;399;405;207;12;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"SAVONA";"SAVONA";"VILLANOVA D'ALBENGA";2291;1138;1509;757;38;"CASSIMATIS";"MARIKA";"2";;
"LIGURIA";"SAVONA";"SAVONA";"ZUCCARELLO";307;149;200;96;8;"CASSIMATIS";"MARIKA";"0";;
"LIGURIA";"GENOVA";"GENOVA";"NE";2387;1192;1095;568;25;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"GENOVA";"GENOVA";"NEIRONE";796;427;397;214;4;"VISIGALLI";"DAVIDE";"0";"RICONQUISTARE L'ITALIA";0
"LIGURIA";"GENOVA";"GENOVA";"ORERO";520;274;258;143;6;"VISIGALLI";"DAVIDE";"0";"RICONQUISTARE L'ITALIA";0
"LIGURIA";"GENOVA";"GENOVA";"PIEVE LIGURE";2609;1273;1265;628;21;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"GENOVA";"GENOVA";"PORTOFINO";337;168;213;108;0;"VISIGALLI";"DAVIDE";"0";"RICONQUISTARE L'ITALIA";0
