"";"x"
"1";"+EUROPA"
"2";"10 VOLTE MEGLIO"
"3";"AUTODETERMINATZIONE"
"4";"BLOCCO NAZIONALE PER LE LIBERTA'"
"5";"CASAPOUND ITALIA"
"6";"CIVICA POPOLARE LORENZIN"
"7";"FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA"
"8";"FORZA ITALIA"
"9";"FRATELLI D'ITALIA CON GIORGIA MELONI"
"10";"GRANDE NORD"
"11";"IL POPOLO DELLA FAMIGLIA"
"12";"ITALIA AGLI ITALIANI"
"13";"ITALIA EUROPA INSIEME"
"14";"ITALIA NEL CUORE"
"15";"LEGA"
"16";"LIBERI E UGUALI"
"17";"LISTA DEL POPOLO PER LA COSTITUZIONE"
"18";"MOVIMENTO 5 STELLE"
"19";"NOI CON L'ITALIA - UDC"
"20";"PARTITO COMUNISTA"
"21";"PARTITO DEMOCRATICO"
"22";"PARTITO REPUBBLICANO ITALIANO - ALA"
"23";"PARTITO VALORE UMANO"
"24";"PATTO PER L'AUTONOMIA"
"25";"PD-UV-UVP-EPAV"
"26";"PER UNA SINISTRA RIVOLUZIONARIA"
"27";"POTERE AL POPOLO!"
"28";"POUR TOUS PER TUTTI PE TCHEUT"
"29";"RINASCIMENTO MIR"
"30";"RISPOSTA CIVICA"
"31";"SIAMO"
"32";"SVP - PATT"
