"CIRCOSCRIZIONE";"COLLEGIOPLURINOMINALE"
"PIEMONTE";"PIEMONTE - 01"
"PIEMONTE";"PIEMONTE - 02"
"LOMBARDIA";"LOMBARDIA - 01"
"LOMBARDIA";"LOMBARDIA - 02"
"LOMBARDIA";"LOMBARDIA - 03"
"LOMBARDIA";"LOMBARDIA - 04"
"LOMBARDIA";"LOMBARDIA - 05"
"TRENTINO-ALTO ADIGE";"TRENTINO-ALTO ADIGE/S_DTIROL - 01"
"VENETO";"VENETO - 01"
"VENETO";"VENETO - 02"
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01"
"LIGURIA";"LIGURIA - 01"
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01"
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02"
"TOSCANA";"TOSCANA - 01"
"TOSCANA";"TOSCANA - 02"
"UMBRIA";"UMBRIA - 01"
"MARCHE";"MARCHE - 01"
"LAZIO";"LAZIO - 01"
"LAZIO";"LAZIO - 02"
"LAZIO";"LAZIO - 03"
"ABRUZZO";"ABRUZZO - 01"
"MOLISE";"MOLISE - 01"
"CAMPANIA";"CAMPANIA - 01"
"CAMPANIA";"CAMPANIA - 02"
"CAMPANIA";"CAMPANIA - 03"
"PUGLIA";"PUGLIA - 01"
"PUGLIA";"PUGLIA - 02"
"BASILICATA";"BASILICATA - 01"
"CALABRIA";"CALABRIA - 01"
"SICILIA";"SICILIA - 01"
"SICILIA";"SICILIA - 02"
"SARDEGNA";"SARDEGNA - 01"
"AOSTA";""
